family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
Pangu24,global,123,shallow_wide,wide shallow adapter,0.00020732979059956435,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,fire_prone,123,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,123,linear,linear probe,0.038250228829639646,0.0415913661007458,0.43794286642438024,0.5060680789918252,1e-05,identity
Pangu24,fire_prone,123,pixel_mlp,pixel MLP head,0.031281730328619695,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,123,shallow,shallow spatial adapter,0.03767960131439503,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,123,shallow_wide,wide shallow adapter,0.015194111715347874,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,global,42,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,global,42,linear,linear probe,0.00027374102933589697,0.0,0.0,0.0,0.05,identity
Pangu24,global,42,pixel_mlp,pixel MLP head,0.00022081972823754622,0.0,0.0,0.0,0.05,identity
Pangu24,global,42,shallow,shallow spatial adapter,0.00019562280285672165,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
Pangu24,global,42,shallow_wide,wide shallow adapter,0.00027611010086493764,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,fire_prone,42,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,42,linear,linear probe,0.03282307795606195,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,42,pixel_mlp,pixel MLP head,0.02382666025146093,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,42,shallow,shallow spatial adapter,0.01430865809485742,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,42,shallow_wide,wide shallow adapter,0.029276658304785107,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,global,7,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,global,7,linear,linear probe,0.0003007213143510967,0.00048497822606044473,0.07403151298938895,0.11250100970106779,1e-05,identity
Pangu24,global,7,pixel_mlp,pixel MLP head,0.00032893633911208823,0.0,0.0,0.0,0.05,identity
Pangu24,global,7,shallow,shallow spatial adapter,0.0002272277156656046,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
Pangu24,global,7,shallow_wide,wide shallow adapter,0.0002042663438632212,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,fire_prone,7,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,7,linear,linear probe,0.037502785138697425,0.04101254412979794,0.4373876572798083,0.5055297690676752,1e-05,identity
Pangu24,fire_prone,7,pixel_mlp,pixel MLP head,0.047138576781407156,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,7,shallow,shallow spatial adapter,0.017243288313329958,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,7,shallow_wide,wide shallow adapter,0.01480145287706126,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,global,99,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,global,99,linear,linear probe,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.05,identity
Pangu24,global,99,pixel_mlp,pixel MLP head,0.00025560594048110104,0.0,0.0,0.0,0.05,identity
Pangu24,global,99,shallow,shallow spatial adapter,0.00021324590038942316,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
Pangu24,global,99,shallow_wide,wide shallow adapter,0.00032980109347867327,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,fire_prone,99,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,99,linear,linear probe,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.05,identity
Pangu24,fire_prone,99,pixel_mlp,pixel MLP head,0.029439579928907448,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,99,shallow,shallow spatial adapter,0.01603735034542202,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,99,shallow_wide,wide shallow adapter,0.042974845681594,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Prithvi-WxC,global,det.,linear,linear probe,0.0147,0.0,0.0,0.0,,paper-safe
Prithvi-WxC,global,det.,shallow,shallow spatial adapter,0.0317,0.0664,0.5866,0.7152,,paper-safe
Prithvi-WxC,fire_prone,det.,linear,linear probe,0.14,0.0,0.0,0.0,,paper-safe
Prithvi-WxC,fire_prone,det.,shallow,shallow spatial adapter,0.1221,0.2538,0.8117,0.881,,paper-safe
